ticker,E_score,S_score,G_score,ESG_score,Sectors,Market_Cap,Beta_1Y
ALTR,70.16,87.72,16.36,58.08,Information Technology,4428616672,1.35518454
ACTG,25.84,30.98,49.19,35.33,Industrials,223543225.2,1.346076905
ALLO,17.27,54.03,44.98,38.76,Health Care,1307921807,1.686643406
AIRG,17.83,30.98,23.51,24.11,Information Technology,86812290.72,0.832419021
AEP,99.75,73.2,78.06,83.67,Utilities,50394089991,0.277552278
APPN,66.41,30.98,11.04,36.14,Information Technology,3681641945,1.933382002
BBSI,40.83,44.55,75.08,53.49,Industrials,530843733,0.646452279
ALEC,47.16,54.03,12.66,37.95,Health Care,839935373.8,1.600437286
BLMN,85.56,43.95,36.22,55.24,Consumer,2068743234,1.436649837
AXTI,60.89,42.43,15.75,39.69,Information Technology,254274963.8,1.738716841
ADPT,30.24,54.03,35.03,39.77,Health Care,1231648400,1.98120304
AVTX,4.41,30.98,14.89,16.76,Health Care,47384844.68,1.080992015
BIMI,69.55,66.44,12.61,49.54,Health Care,10048486.08,1.723031866
AVEO,17.68,30.98,30.04,26.23,Health Care,178923744.9,1.272670571
BCPC,85.92,81.16,80.04,82.37,Utilities,3922850870,0.725841204
ATNI,76.55,73,79.64,76.39,Communication Services,619478393,0.353885691
ASTE,87.99,80.4,83.38,83.92,Industrials,909564341.6,1.225778417
ACHV,48.73,19.58,21.68,30,Health Care,65093778.99,0.796140482
ABTX,50.61,54.03,87.69,64.11,Financials,848745949.1,0.66067016
AQMS,56.99,54.03,4.76,38.59,Industrials,71974411.2,1.758995498
AOSL,81.81,83.84,53.55,73.07,Information Technology,1197828236,2.611828739
ANAT,53.7,45.29,60.89,53.29,Financials,5088133728,0.113843424
AATC,58.76,54.03,1.01,37.93,Information Technology,34693627.65,0.890591451
AMGN,91.34,94.43,82.62,89.46,Health Care,1.23357E+11,0.419798975
BATRA,42.93,43.29,50.13,45.45,Communication Services,1327064332,0.713516738
ATRS,28.01,30.98,28.27,29.09,Health Care,953610062.6,0.985245507
BCAB,0.25,5.17,35.03,13.48,Health Care,137570702.2,1.602318975
APPS,66.01,23.35,17.83,35.73,Information Technology,3180325982,2.522121605
ADAP,4.81,30.98,34.09,23.29,Health Care,293338142.8,1.491929824
ALVR,11.04,5.17,35.03,17.08,Health Care,297396585.8,1.879715469
ALGM,63.17,8.59,45.67,39.14,Information Technology,4770634756,1.741299265
ARNA,88.1,77.91,9.73,58.58,Health Care,11613679733,0.259111951
AIRT,59.98,13.88,57.07,43.64,Industrials,50289138.44,0.839098396
BL,86.83,42.43,68.09,65.78,Information Technology,3979717097,1.37930253
BGCP,51.42,77.53,32.93,53.96,Financials,1794231372,1.131827816
AGFS,51.93,91.01,66.92,69.95,Utilities,96972171.5,0.458089598
BLNK,58.41,13.88,46.35,39.55,Industrials,827494399.6,1.571338127
AERI,55.88,54.03,33.43,47.78,Health Care,364771912.5,1.234808482
AY,55.93,15.02,10.33,27.09,Utilities,3384788284,0.703862501
AMRS,78.98,93.03,25.58,65.86,Utilities,1154131213,2.542230532
ALNY,73.51,75.58,27.1,58.73,Health Care,16799125379,0.507468888
ACIW,80.9,87.72,70.26,79.63,Information Technology,3177527143,1.150600268
ASMB,4.91,41.13,54.66,33.57,Health Care,86135582.23,0.727988741
AVGO,99.19,99.42,24.82,74.48,Information Technology,2.35313E+11,1.349750098
BIOL,70.47,75.58,9.68,51.91,Health Care,29202206.44,1.237668484
AVXL,12.74,41.13,13.63,22.5,Health Care,696097402,1.926206039
ACAD,36.32,22.87,42.45,33.88,Health Care,3154312206,1.069560143
ADSK,95.39,93.03,51.57,80,Information Technology,41918708185,1.667803015
ATNX,24.97,75.58,38.3,46.29,Health Care,56183110.46,1.524593524
ARAV,5.02,30.98,32.47,22.82,Health Care,43525792.28,0.936433554
AMKR,96.76,68.54,62.51,75.94,Information Technology,4775540877,1.954846394
BCRX,27.76,54.03,69.71,50.5,Health Care,1781544960,1.299631355
ASUR,62.16,8.59,50.96,40.57,Information Technology,122432654.7,0.535792609
AAWW,83.79,80.04,55.22,73.02,Industrials,1959358662,0.936185235
AMAL,74.57,98.63,40.02,71.07,Financials,571552797.2,0.504448218
APA,97.82,99.75,86.12,94.56,Utilities,14088713308,1.365831621
ANDE,31.36,12.01,82.27,41.88,Consumer,1747650568,0.817821202
ADBE,87.69,8.59,97.26,64.51,Information Technology,1.92445E+11,1.541403524
BATRK,42.93,43.29,50.13,45.45,Communication Services,1327064332,0.750021169
ALGN,90.27,86.47,88.4,88.38,Health Care,24341360060,1.606074992
AKAM,87.59,93.03,70.36,83.66,Information Technology,18070518060,0.760773124
ALOT,24.11,30.98,69.6,41.57,Information Technology,97322257.9,0.175600289
AEY,20.11,8.59,50.96,26.55,Information Technology,14853204.78,1.082908463
ATSG,79.08,44.55,80.24,67.96,Industrials,2353516575,0.804326892
BMRC,49.9,54.03,95.39,66.44,Financials,513243373.3,0.537608203
BYND,82.93,30.98,62.31,58.74,Consumer,2434923216,1.628428603
BLUE,3.75,75.58,34.14,37.83,Health Care,282215247.1,1.577076478
AWH,5.88,5.17,38.65,16.57,Health Care,78546344.8,1.748799907
CCCC,6.33,5.17,35.03,15.51,Health Care,455621947,2.075760525
BUSE,37.69,17.15,92,48.94,Financials,1251078363,0.870186356
BLBD,66.11,54.03,45.19,55.11,Industrials,516400675.1,1.355670012
BRY,93.52,83.84,34.19,70.52,Utilities,885932153.8,1.109702645
AROW,30.5,38.93,97.16,55.53,Financials,498164430,0.568850511
ASML,97.06,94.88,72.09,88.01,Information Technology,2.32134E+11,1.854628677
AMSC,61.25,54.03,48.18,54.48,Industrials,159363394.4,1.502128371
CALA,6.89,30.98,83.13,40.33,Health Care,24620199.26,1.660526832
ADTN,90.53,87.72,83.59,87.28,Information Technology,872872614.9,1.112846165
BPMC,29.03,54.03,78.88,53.98,Health Care,3557553067,1.351762843
ARAY,54.86,19.58,82.37,52.27,Health Care,247781908.7,1.319045811
BDSI,7.7,19.58,1.27,9.52,Health Care,577048969.6,0.028942449
CBFV,21.28,30.98,91.39,47.88,Financials,114586251.3,0.302466663
AGIO,47.87,75.58,32.12,51.86,Health Care,1291922899,1.103187023
CCXI,16.31,75.58,27.15,39.68,Health Care,1335337255,1.487624804
ASYS,60.18,69.4,25.99,51.86,Information Technology,129638974.1,1.30087607
CASI,15.81,30.98,16.57,21.12,Health Care,56615604.17,1.129543733
CCEL,15.25,30.98,1.42,15.88,Health Care,53723413,0.310160204
CDW,95.95,93.03,75.38,88.12,Information Technology,22149546857,1.187396355
ABCB,74.06,63.8,91.79,76.55,Financials,2985186221,1.064188168
ANGI,40.63,23.73,29.38,31.25,Communication Services,2325500201,1.605876225
BVS,73.25,0.46,39.92,37.88,Health Care,845754052,0.918170209
CENT,41.82,54.03,42.58,46.14,Consumer,2308787879,0.757193474
CLBK,35.51,54.03,83.64,57.73,Financials,2175170802,0.446057838
CEVA,60.94,30.98,34.55,42.16,Information Technology,857165881.6,1.785053682
